sp	id	d	p	c	o	f	g	s
UP000011083	1257118	Eukaryota	Amorphea	Amoebozoa	Centramoebia	Acanthopodida	Acanthamoeba	Acanthamoeba castellanii str. Neff
ACYSU	361139	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Acytostelium	Acytostelium subglobosum
UP000007797	261658	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Cavenderia	Cavenderia fasciculata
CORPO	142831	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Coremiostelium	Coremiostelium polycephalum
UP000002195	44689	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Dictyostelium	Dictyostelium discoideum
UP000001064	5786	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Dictyostelium	Dictyostelium purpureum
UP000001396	670386	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Heterostelium	Heterostelium album PN500
UP000695562	133409	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Polysphondylium	Polysphondylium violaceum
SYNPO	361085	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Synstelium	Synstelium polycarpum
UP000076078	361077	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Tieghemostelium	Tieghemostelium lacteum
VERVE	5778	Eukaryota	Amorphea	Amoebozoa	Tubulinea	Echinamoebidia	Vermamoeba	Vermamoeba vermiformis
UP000014680	370355	Eukaryota	Amorphea	Amoebozoa	Archamoebea	Entamoeba	Entamoeba	Entamoeba invadens IP1
UP000001926	294381	Eukaryota	Amorphea	Amoebozoa	Archamoebea	Entamoeba	Entamoeba	Entamoeba histolytica HM-1:IMSS
MASBA	108607	Eukaryota	Amorphea	Amoebozoa	Archamoebea	Mastigamoebida	Mastigamoeba	Mastigamoeba balamuthi
UP000241769	1890364	Eukaryota	Amorphea	Amoebozoa	Variosea	Variosea	Planoprotostelium	Planoprotostelium fungivorum
APUAF	2925400	Eukaryota	Amorphea	Apusomonadida	Apusomonadida	Apusomonadida	Apusomonadida	Apusomonadida
UP000054408	461836	Eukaryota	Amorphea	Apusomonadida	Apusomonadida	Apusomonadida	Thecamonas	Thecamonas trahens ATCC 50062
LENLI	1653305	Eukaryota	Amorphea	Breviatea	Breviatea	Breviatea	Lenisia	Lenisia limosa
PYGBI	1277256	Eukaryota	Amorphea	Breviatea	Breviatea	Breviatea	Pygsuia	Pygsuia biforma
UP000014760	283909	Eukaryota	Amorphea	Opisthokonta	Metazoa	Annelida	Capitella	Capitella teleta
UP000549394	2664684	Eukaryota	Amorphea	Opisthokonta	Metazoa	Annelida	Dimorphilus	Dimorphilus gyrociliatus
UP000015101	6412	Eukaryota	Amorphea	Opisthokonta	Metazoa	Annelida	Helobdella	Helobdella robusta
UP000749559	6347	Eukaryota	Amorphea	Opisthokonta	Metazoa	Annelida	Owenia	Owenia fusiformis
UP000563990	2069292	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Abscondita	Abscondita terminalis
UP000669903	2715315	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Acromyrmex	Acromyrmex charruanus
UP000670152	230685	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Acromyrmex	Acromyrmex heyeri
UP000007755	103372	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Acromyrmex	Acromyrmex echinatior
UP000007819	7029	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Acyrthosiphon	Acyrthosiphon pisum
UP000008820	7159	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Aedes	Aedes aegypti
UP000249989	7160	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Aedes	Aedes albopictus
