code	d	p	c	o	f	g	s
UP000011083	Eukaryota	Amorphea	Amoebozoa	Centramoebia	Acanthopodida	Acanthamoeba	Acanthamoeba castellanii str. Neff
ACYSU	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Acytostelium	Acytostelium subglobosum
UP000007797	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Cavenderia	Cavenderia fasciculata
CORPO	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Coremiostelium	Coremiostelium polycephalum
UP000002195	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Dictyostelium	Dictyostelium discoideum
UP000001064	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Dictyostelium	Dictyostelium purpureum
UP000001396	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Heterostelium	Heterostelium album PN500
UP000695562	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Polysphondylium	Polysphondylium violaceum
SYNPO	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Synstelium	Synstelium polycarpum
UP000076078	Eukaryota	Amorphea	Amoebozoa	Eumycetozoa	Dictyostelia	Tieghemostelium	Tieghemostelium lacteum
VERVE	Eukaryota	Amorphea	Amoebozoa	Tubulinea	Echinamoebidia	Vermamoeba	Vermamoeba vermiformis
UP000014680	Eukaryota	Amorphea	Amoebozoa	Archamoebea	Entamoeba	Entamoeba	Entamoeba invadens IP1
UP000001926	Eukaryota	Amorphea	Amoebozoa	Archamoebea	Entamoeba	Entamoeba	Entamoeba histolytica HM-1:IMSS
MASBA	Eukaryota	Amorphea	Amoebozoa	Archamoebea	Mastigamoebida	Mastigamoeba	Mastigamoeba balamuthi
UP000241769	Eukaryota	Amorphea	Amoebozoa	Variosea	Variosea	Planoprotostelium	Planoprotostelium fungivorum
APUAF	Eukaryota	Amorphea	Apusomonadida	Apusomonadida	Apusomonadida	Apusomonadida	Apusomonadida
UP000054408	Eukaryota	Amorphea	Apusomonadida	Apusomonadida	Apusomonadida	Thecamonas	Thecamonas trahens ATCC 50062
LENLI	Eukaryota	Amorphea	Breviatea	Breviatea	Breviatea	Lenisia	Lenisia limosa
PYGBI	Eukaryota	Amorphea	Breviatea	Breviatea	Breviatea	Pygsuia	Pygsuia biforma
UP000014760	Eukaryota	Amorphea	Opisthokonta	Metazoa	Annelida	Capitella	Capitella teleta
UP000549394	Eukaryota	Amorphea	Opisthokonta	Metazoa	Annelida	Dimorphilus	Dimorphilus gyrociliatus
UP000015101	Eukaryota	Amorphea	Opisthokonta	Metazoa	Annelida	Helobdella	Helobdella robusta
UP000749559	Eukaryota	Amorphea	Opisthokonta	Metazoa	Annelida	Owenia	Owenia fusiformis
UP000563990	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Abscondita	Abscondita terminalis
UP000669903	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Acromyrmex	Acromyrmex charruanus
UP000670152	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Acromyrmex	Acromyrmex heyeri
UP000007755	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Acromyrmex	Acromyrmex echinatior
UP000007819	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Acyrthosiphon	Acyrthosiphon pisum
UP000008820	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Aedes	Aedes aegypti
UP000249989	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Aedes	Aedes albopictus
UP000192223	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Agrilus	Agrilus planipennis
UP000708208	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Allacma	Allacma fusca
UP000440578	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Amphibalanus	Amphibalanus amphitrite
UP000000673	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Anopheles	Anopheles darlingi
UP000007062	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Anopheles	Anopheles gambiae
UP000030765	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Anopheles	Anopheles sinensis
UP000076408	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Anopheles	Anopheles stephensi
UP000639338	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Aphidius	Aphidius gifuensis
UP000475862	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Aphis	Aphis glycines
UP000478052	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Aphis	Aphis craccivora
UP000005203	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Apis	Apis mellifera
UP000242457	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Apis	Apis cerana cerana
UP000466442	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Apolygus	Apolygus lucorum
UP000499080	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Araneus	Araneus ventricosus
UP000494106	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Arctia	Arctia plantaginis
UP000807504	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Argiope	Argiope bruennichi
UP000326759	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Armadillidium	Armadillidium nasatum
UP000288706	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Armadillidium	Armadillidium vulgare
UP000292052	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Asbolus	Asbolus verrucosus
UP000005205	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Atta	Atta cephalotes
UP000504616	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Bactrocera	Bactrocera dorsalis
UP000504620	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Bicyclus	Bicyclus anynana
UP000245037	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Blattella	Blattella germanica
UP000504631	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Bombus	Bombus vosnesenskii
UP000005204	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Bombyx	Bombyx mori
UP000732094	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Bradysia	Bradysia odoriphaga
UP000838878	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Brenthis	Brenthis ino
UP000595437	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Caligus	Caligus rogercresseyi
UP000410492	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Callosobruchus	Callosobruchus maculatus
UP000000311	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Camponotus	Camponotus floridanus
UP000265894	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Cephus	Cephus cinctus
UP000606786	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Ceratitis	Ceratitis capitata
UP000283053	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Chilo	Chilo suppressalis
UP000770661	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Chionoecetes	Chionoecetes opilio
UP000494040	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Cimex	Cimex lectularius
UP000325440	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Cinara	Cinara cedri
UP000494165	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Cloeon	Cloeon dipterum
UP000183832	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Clunio	Clunio marinus
UP000502823	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Coptotermes	Coptotermes formosanus
UP000729913	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Cotesia	Cotesia typhae
UP000786811	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Cotesia	Cotesia congregata
UP000235965	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Cryptotermes	Cryptotermes secundus
UP000002320	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Culex	Culex quinquefasciatus
UP000078542	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Cyphomyrmex	Cyphomyrmex costatus
UP000680675	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Cyprideis	Cyprideis torosa
UP000789524	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Danaus	Danaus chrysippus
UP000007151	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Danaus	Danaus plexippus plexippus
UP000789390	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Daphnia	Daphnia galeata
UP000076858	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Daphnia	Daphnia magna
UP000000305	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Daphnia	Daphnia pulex
UP000677054	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Darwinula	Darwinula stevensoni
UP000030742	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Dendroctonus	Dendroctonus ponderosae
UP000515146	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Dermatophagoides	Dermatophagoides pteronyssinus
UP000515147	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Diabrotica	Diabrotica virgifera virgifera
UP000297026	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Diachasma	Diachasma alloeum
UP000079169	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Diaphorina	Diaphorina citri
UP000515204	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Dinoponera	Dinoponera quadriceps
UP000285301	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Dinothrombium	Dinothrombium tinctorium
UP000785944	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Dolichomitus	Dolichomitus sp. PSUC_FEM 10030005
UP000000803	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila melanogaster
UP000494163	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila busckii
UP000000304	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila simulans
UP000001292	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila sechellia
UP000007798	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila willistoni
UP000008744	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila persimilis
UP000008792	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila virilis
UP000268350	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila guanche
UP000515160	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila albomicans
UP000515200	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila kikkawai
UP000515209	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila rhopaloa
UP000001819	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila pseudoobscura pseudoobscura
UP000007801	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila ananassae
UP000009192	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila mojavensis
UP000295192	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila navojoa
UP000001070	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Drosophila	Drosophila grimshawi
UP000076502	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Dufourea	Dufourea novaeangliae
UP000525554	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Ephemera	Ephemera danica
UP000250275	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Eufriesea	Eufriesea mexicana
UP000299102	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Eumeta	Eumeta japonica
UP000194236	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Euroglyphus	Euroglyphus maynei
UP000198287	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Folsomia	Folsomia candida
UP000504606	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Frankliniella	Frankliniella occidentalis
UP000655588	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Frieseomelitta	Frieseomelitta varia
UP000504614	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Galleria	Galleria mellonella
UP000053825	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Habropoda	Habropoda laboriosa
UP000008237	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Harpegnathos	Harpegnathos saltator
UP000218220	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Heliothis	Heliothis virescens
UP000594454	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Hermetia	Hermetia illucens
UP000752696	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Heterotrigona	Heterotrigona itama
UP000747542	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Homarus	Homarus americanus
UP000694843	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Hyalella	Hyalella azteca
UP000837675	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Hyalomma	Hyalomma marginatum
UP000801492	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Ignelater	Ignelater luminosus
UP000001555	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Ixodes	Ixodes scapularis
UP000792457	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Ladona	Ladona fulva
UP000580559	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Lamprigera	Lamprigera yunnana
UP000291343	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Laodelphax	Laodelphax striatellus
UP000036403	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Lasius	Lasius niger
UP000675881	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Lepeophtheirus	Lepeophtheirus salmonis
UP000324832	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Leptidea	Leptidea sinapis
UP000288716	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Leptotrombidium	Leptotrombidium deliense
UP000037069	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Lucilia	Lucilia cuprina
UP000759131	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Medioppia	Medioppia subpectinata
UP000015102	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Megaselia	Megaselia scalaris
UP000053105	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Melipona	Melipona quadrifasciata
UP000002358	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Nasonia	Nasonia vitripennis
UP000504622	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Neodiprion	Neodiprion lecontei
UP000479000	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Nesidiocoris	Nesidiocoris tenuis
UP000678499	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Notodromas	Notodromas monacha
UP000479987	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Nylanderia	Nylanderia fulva
UP000713257	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Nymphon	Nymphon striatum
UP000053097	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Ooceraea	Ooceraea biroi
UP000037510	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Operophtera	Operophtera brumata
UP000728032	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Oppiella	Oppiella nova
UP000094527	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Orchesella	Orchesella cincta
UP000051574	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Oryctes	Oryctes borbonicus
UP000053240	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Papilio	Papilio machaon
UP000053268	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Papilio	Papilio xuthus
UP000838756	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Pararge	Pararge aegeria aegeria
UP000691718	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Parnassius	Parnassius apollo
UP000009046	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Pediculus	Pediculus humanus corporis
UP000283509	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Penaeus	Penaeus vannamei
UP000327044	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Photinus	Photinus pyralis
UP000663880	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Pieris	Pieris macdunnoughi
UP000653454	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Plutella	Plutella xylostella
UP000504615	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Pogonomyrmex	Pogonomyrmex barbatus
UP000324222	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Portunus	Portunus trituberculatus
UP000668214	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Pseudoatta	Pseudoatta argentina
UP000015103	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Rhodnius	Rhodnius prolixus
UP000625711	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Rhynchophorus	Rhynchophorus ferrugineus
UP000070412	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Sarcoptes	Sarcoptes scabiei
UP000504634	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Scaptodrosophila	Scaptodrosophila lebanonensis
UP000694846	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Sipha	Sipha flava
UP000504635	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Sitophilus	Sitophilus oryzae
UP000301870	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Spodoptera	Spodoptera litura
UP000648187	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Spodoptera	Spodoptera exigua
UP000054359	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Stegodyphus	Stegodyphus mimosarum
UP000014500	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Strigamia	Strigamia maritima
UP000310200	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Temnothorax	Temnothorax longispinosus
UP000504618	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Temnothorax	Temnothorax curvispinosus
UP000719412	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Tenebrio	Tenebrio molitor
UP000015104	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Tetranychus	Tetranychus urticae
UP000515158	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Thrips	Thrips palmi
UP000318571	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Tigriopus	Tigriopus californicus
UP000075809	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Trachymyrmex	Trachymyrmex zeteki
UP000078541	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Trachymyrmex	Trachymyrmex septentrionalis
UP000078492	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Trachymyrmex	Trachymyrmex cornetzi
UP000007266	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Tribolium	Tribolium castaneum
UP000479190	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Trichogramma	Trichogramma brassicae
UP000215335	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Trichomalopsis	Trichomalopsis sarcophagae
UP000322000	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Trichoplusia	Trichoplusia ni
